panel,model,beta_ln_price_lag1,se,pvalue,N
states,OLS_cluster_route,-0.38543890852526563,0.10150439198819797,0.00014630233078412715,23682
states,FE_route_year,-0.84845501273729,0.038382863477016825,0.0,23682
