,,total_passengers,total_passengers,total_passengers,total_passengers,total_passengers,total_passengers,total_passengers,total_passengers,avg_price,avg_price,avg_price,avg_price,avg_price,avg_price,avg_price,avg_price
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
origin_state,destination,,,,,,,,,,,,,,,,
AR,"Valparaiso, FL",1.0,69.0,,69.0,69.0,69.0,69.0,69.0,1.0,132.9367088607595,,132.9367088607595,132.9367088607595,132.9367088607595,132.9367088607595,132.9367088607595
AR,"Washington, DC (Metropolitan Area)",28.0,940.0357142857143,324.95270107587646,155.0,931.25,1016.5,1141.75,1372.0,28.0,324.5285936829745,26.626607444891814,268.7165954913153,309.2757290802816,321.3895892721621,344.38336972538656,368.41413043478263
AZ,"Minneapolis/St. Paul, MN",6.0,185.66666666666666,24.32830998377542,143.0,178.5,191.0,199.75,212.0,6.0,222.06905845140076,14.87294991100676,198.46031746031747,215.48668132942328,222.53787878787875,234.27678571428572,237.55223880597012
AZ,"Pittsburgh, PA",30.0,1428.1333333333334,399.1921785334713,752.0,1004.5,1572.5,1761.75,1932.0,30.0,362.7482312258657,79.07111319457498,268.20083648989896,303.627890888851,342.2267709099492,376.0322060692655,536.1221648152932
AZ,"Portland, OR",30.0,4980.8,1130.6629547488408,3315.0,4203.25,4757.0,5447.75,7648.0,30.0,243.69358790642997,22.507596110876687,192.91771715126976,229.66621919578623,240.19837361948476,258.404806222461,292.35488116003205
AZ,"Provo, UT",9.0,935.6666666666666,328.7989507282528,332.0,813.0,956.0,1222.0,1329.0,9.0,99.67963292984366,4.8161703355116,93.95616816693945,94.7838701586608,99.71737864784221,104.07032390323903,106.82484367851151
AZ,"Quad Cities, IL (Metropolitan Area)",1.0,151.0,,151.0,151.0,151.0,151.0,151.0,1.0,228.64285714285708,,228.64285714285708,228.64285714285708,228.64285714285708,228.64285714285708,228.64285714285708
AZ,"Raleigh/Durham, NC",28.0,1331.892857142857,369.14529301414285,286.0,1191.25,1334.0,1605.25,2032.0,28.0,335.2717969478789,54.92164969931011,258.4948841996912,307.4844831887981,322.3417884294271,356.4372124649246,546.5127729413445
AZ,"Rapid City, SD",2.0,196.5,103.94469683442249,123.0,159.75,196.5,233.25,270.0,2.0,147.40049056987442,5.192707359687148,143.72869198312236,145.5645912764984,147.40049056987442,149.23638986325048,151.0722891566265
AZ,"Reno, NV",30.0,1814.2333333333333,270.06010612369283,1039.0,1717.25,1827.0,2018.0,2145.0,30.0,217.1816330535378,28.908609053057962,162.92431849049282,192.97027819416766,223.1795913546539,231.17011001632292,280.1379400041955
AZ,"Richmond, VA",3.0,352.0,326.57770897598016,108.0,166.5,225.0,474.0,723.0,3.0,286.5921074127689,3.8880928196191666,282.1818181818182,285.12577782039807,288.06973745897795,288.7972520282442,289.5247665975104
AZ,"Rockford, IL",2.0,60.0,43.840620433565945,29.0,44.5,60.0,75.5,91.0,2.0,115.02684154338874,9.776341673821518,108.1139240506329,111.57038279701082,115.02684154338874,118.48330028976666,121.93975903614458
AZ,"Sacramento, CA",30.0,3668.5,676.6631490197906,2268.0,3314.75,3543.0,4252.25,4652.0,30.0,225.18320227541258,29.516298997230194,170.20139146567718,203.33611493493106,231.31058175674073,243.17198251492044,283.3377707247283
AZ,"Salt Lake City, UT",30.0,5030.833333333333,828.8814267072402,3091.0,4729.0,5045.5,5363.0,6915.0,30.0,207.06149990556682,26.193802548286524,161.89718206953856,184.90739341903145,203.24260474896863,232.62102742675017,251.35809534190827
AZ,"San Antonio, TX",30.0,1680.6666666666667,375.8395047534696,1116.0,1410.75,1652.5,1793.75,2521.0,30.0,269.6542569407242,25.775899460824657,204.12725225225225,254.19390775605018,262.6336626279005,287.4700442334664,329.670676393685
AZ,"San Diego, CA",30.0,5534.166666666667,1377.5171088075354,2268.0,5188.75,5611.0,6183.75,8211.0,30.0,174.1997074301308,26.93660907453095,136.9619642857143,152.65497899815722,171.9074037742304,184.60285661790564,228.6671670500112
AZ,"San Francisco, CA (Metropolitan Area)",30.0,13556.933333333332,2343.436761995353,5829.0,13144.25,14093.5,15086.5,16072.0,30.0,213.72785546968484,24.41995766265628,170.10735846612258,195.72052025520844,212.7138028883174,229.6259933666348,263.7012370587756
